Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965
Honduras	HND	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.949	49.63	49.358	49.14	48.973	48.837
Heavily indebted poor countries (HIPC)	HPC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.32191719	48.29775284	48.26753833	48.23058672	48.18711489	48.13904346
Croatia	HRV	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	18.4	17.8	17.2	16.5	16.2	16.6
Haiti	HTI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.211	43.957	43.638	43.246	42.781	42.242
Hungary	HUN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	14.7	14	12.9	13.1	13.1	13.1
IBRD only	IBD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	32.61587518	31.50034678	37.7067724	39.56817293	37.8136637	37.06823686
IDA & IBRD total	IBT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	35.02410048	34.11608376	39.2759296	40.80849605	39.33568371	38.699333
IDA total	IDA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.08637416	47.04461754	46.9767088	46.8843841	46.77147797	46.64418329
IDA blend	IDB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.14652615	45.13828425	45.0794729	44.97398049	44.8302751	44.66319717
Indonesia	IDN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.56	44.277	43.934	43.551	43.141	42.71
IDA only	IDX	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.01102923	47.95277971	47.88030978	47.7941377	47.69569062	47.58696857
Isle of Man	IMN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	14.1	13.8	14.1	14.8	14.4	14.9
India	IND	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.1	41.857	41.594	41.308	41.004	40.686
Not classified	INX	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Ireland	IRL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	21.5	21.2	21.8	22.2	22.4	22.1
"Iran, Islamic Rep."	IRN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.771	47.227	46.66	46.078	45.491	44.901
Iraq	IRQ	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.164	42.542	43.167	43.936	44.739	45.453
Iceland	ISL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	28	25.5	25.8	26	25.3	24.6
Israel	ISR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	26.9	25.1	24.9	25	25.7	25.8
Italy	ITA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	18.1	18.4	18.4	18.7	19.7	19
Jamaica	JAM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	40.608	40.802	40.825	40.673	40.353	39.856
Jordan	JOR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	51.634	52.36	52.928	53.286	53.409	53.299
Japan	JPN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	17.3	17	17.1	17.4	17.8	18.7
Kazakhstan	KAZ	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	35.529	34.891	33.968	32.779	31.392	29.932
Kenya	KEN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	51.274	51.173	51.062	50.949	50.842	50.753
Kyrgyz Republic	KGZ	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	40.682	40.316	39.651	38.73	37.625	36.441
Cambodia	KHM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.626	46.353	46.067	45.762	45.435	45.082
Kiribati	KIR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.453	46.791	45.908	44.82	43.562	42.156
St. Kitts and Nevis	KNA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
"Korea, Rep."	KOR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.266	41.006	39.577	38.068	36.559	35.128
Kuwait	KWT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.134	42.794	43.594	44.488	45.411	46.297
Latin America & Caribbean (excluding high income)	LAC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	43.97033044	43.72070263	43.39955359	42.99375248	42.50260307	41.93502636
Lao PDR	LAO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	43.308	43.153	43.031	42.941	42.883	42.854
Lebanon	LBN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	38.373	37.937	37.425	36.837	36.187	35.495
Liberia	LBR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.024	49.116	49.164	49.173	49.152	49.114
Libya	LBY	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	50.392	50.321	50.349	50.485	50.708	50.978
St. Lucia	LCA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.9	47.904	46.807	45.68	44.577	43.524
Latin America & Caribbean	LCN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	41.35255821	41.12146929	40.83708494	40.47669325	40.04583588	39.54635673
Least developed countries: UN classification	LDC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.1151521	48.0693605	48.01349356	47.94687612	47.86944334	47.78157357
Low income	LIC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.66594622	47.553098	47.45762539	47.39275688	47.36045036	47.35466733
Liechtenstein	LIE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	23.1	21.3	20.6	22	20.6	20.6
Sri Lanka	LKA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	37.098	36.438	35.764	35.114	34.504	33.925
Lower middle income	LMC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.67759986	42.41673278	42.1286296	41.8198867	41.49987113	41.1764513
Low & middle income	LMY	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	35.33114888	34.42834337	39.71389288	41.28733613	39.79941038	39.15896198
Lesotho	LSO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.266	42.282	42.303	42.332	42.368	42.416
Late-demographic dividend	LTE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	25.77639116	23.89832132	35.09483228	38.66904487	35.83310705	34.78496294
Lithuania	LTU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	22.5	22.2	20.9	19.7	19	18.1
Luxembourg	LUX	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	16	16.1	16	15.8	16	16
Latvia	LVA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	16.7	16.7	16.1	15.3	14.8	13.8
"Macao SAR, China"	MAC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	30.459	28.435	26.221	23.892	21.537	19.265
